DATE,DFII10
2003-01-02,2.23
2003-02-03,2.09
2003-03-03,2.10
2003-04-01,1.78
2003-05-01,1.52
2003-06-02,1.73
2003-07-01,2.04
2003-08-01,2.14
2003-09-02,2.09
2003-10-01,2.08
2003-11-03,2.00
2003-12-01,1.94
2004-01-02,1.83
2004-02-02,1.73
2004-03-01,1.63
2004-04-01,1.76
2004-05-03,1.95
2004-06-01,2.09
2004-07-01,2.03
2004-08-02,1.95
2004-09-01,1.84
2004-10-01,1.76
2004-11-01,1.72
2004-12-01,1.63
2005-01-03,1.61
2005-02-01,1.68
2005-03-01,1.72
2005-04-01,1.67
2005-05-02,1.61
2005-06-01,1.56
2005-07-01,1.64
2005-08-01,1.70
2005-09-01,1.69
2005-10-03,1.80
2005-11-01,1.82
2005-12-01,1.85
2006-01-03,1.91
2006-02-01,1.93
2006-03-01,2.08
2006-04-03,2.20
2006-05-01,2.27
2006-06-01,2.30
2006-07-03,2.31
2006-08-01,2.22
2006-09-01,2.17
2006-10-02,2.17
2006-11-01,2.15
2006-12-01,2.19
2007-01-02,2.20
2007-02-01,2.26
2007-03-01,2.23
2007-04-02,2.30
2007-05-01,2.35
2007-06-01,2.47
2007-07-02,2.39
2007-08-01,2.21
2007-09-04,2.13
2007-10-01,2.19
2007-11-01,2.03
2007-12-03,1.92
2008-01-02,1.53
2008-02-01,1.61
2008-03-03,1.44
2008-04-01,1.42
2008-05-01,1.53
2008-06-02,1.75
2008-07-01,1.88
2008-08-01,1.64
2008-09-02,1.69
2008-10-01,1.78
2008-11-03,1.97
2008-12-01,1.55
2009-01-02,1.05
2009-02-02,1.36
2009-03-02,1.25
2009-04-01,1.17
2009-05-01,1.55
2009-06-01,1.78
2009-07-01,1.67
2009-08-03,1.42
2009-09-01,1.38
2009-10-01,1.49
2009-11-02,1.66
2009-12-01,1.77
2010-01-04,1.78
2010-02-01,1.52
2010-03-01,1.47
2010-04-01,1.43
2010-05-03,1.34
2010-06-01,1.16
2010-07-01,1.09
2010-08-02,0.95
2010-09-01,0.82
2010-10-01,0.67
2010-11-01,0.83
2010-12-01,1.34
2011-01-03,1.51
2011-02-01,1.56
2011-03-01,1.15
2011-04-01,1.10
2011-05-02,0.95
2011-06-01,0.84
2011-07-01,0.71
2011-08-01,0.13
2011-09-01,-0.02
2011-10-03,0.25
2011-11-01,0.33
2011-12-01,0.10
2012-01-03,0.01
2012-02-01,-0.11
2012-03-01,0.03
2012-04-02,0.02
2012-05-01,-0.23
2012-06-01,-0.42
2012-07-02,-0.59
2012-08-01,-0.70
2012-09-04,-0.76
2012-10-01,-0.72
2012-11-01,-0.72
2012-12-03,-0.63
2013-01-02,-0.66
2013-02-01,-0.62
2013-03-01,-0.59
2013-04-01,-0.68
2013-05-01,-0.41
2013-06-03,-0.11
2013-07-01,0.38
2013-08-01,0.47
2013-09-03,0.48
2013-10-01,0.57
2013-11-01,0.66
2013-12-02,0.73
2014-01-02,0.63
2014-02-03,0.56
2014-03-03,0.47
2014-04-01,0.43
2014-05-01,0.51
2014-06-02,0.54
2014-07-01,0.49
2014-08-01,0.39
2014-09-02,0.38
2014-10-01,0.35
2014-11-03,0.39
2014-12-01,0.37
2015-01-02,0.22
2015-02-02,0.17
2015-03-02,0.25
2015-04-01,0.24
2015-05-01,0.40
2015-06-01,0.52
2015-07-01,0.52
2015-08-03,0.51
2015-09-01,0.59
2015-10-01,0.59
2015-11-02,0.71
2015-12-01,0.84
2016-01-04,0.73
2016-02-01,0.55
2016-03-01,0.43
2016-04-01,0.46
2016-05-02,0.32
2016-06-01,0.23
2016-07-01,0.11
2016-08-01,0.10
2016-09-01,0.13
2016-10-03,0.10
2016-11-01,0.37
2016-12-01,0.63
2017-01-03,0.66
2017-02-01,0.63
2017-03-01,0.53
2017-04-03,0.51
2017-05-01,0.46
2017-06-01,0.42
2017-07-03,0.42
2017-08-01,0.44
2017-09-01,0.46
2017-10-02,0.44
2017-11-01,0.46
2017-12-01,0.49
2018-01-02,0.51
2018-02-01,0.61
2018-03-01,0.63
2018-04-02,0.63
2018-05-01,0.67
2018-06-01,0.72
2018-07-02,0.71
2018-08-01,0.76
2018-09-04,0.79
2018-10-01,0.94
2018-11-01,0.97
2018-12-03,0.89
2019-01-02,0.76
2019-02-01,0.69
2019-03-01,0.58
2019-04-01,0.60
2019-05-01,0.56
2019-06-03,0.33
2019-07-01,0.26
2019-08-01,0.02
2019-09-03,0.00
2019-10-01,0.02
2019-11-01,0.08
2019-12-02,0.14
2020-01-02,0.08
2020-02-03,-0.01
2020-03-02,-0.14
2020-04-01,-0.33
2020-05-01,-0.49
2020-06-01,-0.53
2020-07-01,-0.81
2020-08-03,-0.93
2020-09-01,-0.94
2020-10-01,-0.89
2020-11-02,-0.89
2020-12-01,-0.90
2021-01-04,-0.96
2021-02-01,-0.78
2021-03-01,-0.64
2021-04-01,-0.71
2021-05-03,-0.72
2021-06-01,-0.78
2021-07-01,-0.99
2021-08-02,-1.05
2021-09-01,-1.08
2021-10-01,-1.08
2021-11-01,-1.01
2021-12-01,-0.81
2022-01-03,-0.55
2022-02-01,-0.46
2022-03-01,-0.18
2022-04-01,0.10
2022-05-02,0.28
2022-06-01,0.56
2022-07-01,0.41
2022-08-01,0.41
2022-09-01,0.86
2022-10-03,1.23
2022-11-01,1.35
2022-12-01,1.30
2023-01-03,1.26
2023-02-01,1.28
2023-03-01,1.27
2023-04-03,1.32
2023-05-01,1.30
2023-06-01,1.29
2023-07-03,1.37
2023-08-01,1.58
2023-09-01,1.84
2023-10-02,2.06
2023-11-01,2.09
2023-12-01,1.95
2024-01-02,1.83
2024-02-01,1.81
2024-03-01,1.92
2024-04-01,2.00
2024-05-01,2.06
2024-06-03,2.03
2024-07-01,1.96
2024-08-01,1.71
2024-09-03,1.71
2024-10-01,1.90
2024-11-01,1.95
2024-12-02,2.00
2025-01-02,2.10
2025-02-03,2.15
2025-03-03,2.12
2025-04-01,2.08
2025-05-01,2.05
2025-06-02,2.03
2025-07-01,2.00
2025-08-01,1.98
2025-09-02,1.95
2025-10-01,1.93
